id;type;name;first_name;second_name;picture_url;producer;country;abv;average_rating;rating_count
194;gin;Alt Enderle Holunderblüten Gin;;;https://ginventory.reed.be/api/v2/products/194/picture?type=normal;Bauland Brennerei Alt Enderle;Germany;;6.1;1
195;gin;Alt Enderle Sloe Gin;;;https://ginventory.reed.be/api/v2/products/195/picture?type=normal;Bauland Brennerei Alt Enderle;Germany;;;0
196;gin;Alverna Gin;;;https://ginventory.reed.be/api/v2/products/196/picture?type=normal;Ai Monasteri s.r.l. ;Italy;;8.1;7
199;gin;Amato Wiesbaden Dry Gin;;;https://ginventory.reed.be/api/v2/products/199/picture?type=normal;Destille Kaltenthaler;Germany;;8.1;73
201;gin;Amazonian Gin Company;;;https://ginventory.reed.be/api/v2/products/201/picture?type=normal;The Inca Distillery;Peru;;8.6;101
202;gin;Amethyst Lavender Gin;;;https://ginventory.reed.be/api/v2/products/202/picture?type=normal;The Ellensburg Distillery;United Kingdom;;7.6;3
203;gin;Amo.te Dry Gin;;;https://ginventory.reed.be/api/v2/products/203/picture?type=normal;Amo.te & Co.;Portugal;;7.1;5
205;gin;Ampersand & London Dry Gin - Alma Inglesa & Cítricos Del Sur;Ampersand & London Dry Gin;Alma Inglesa & Cítricos Del Sur;https://ginventory.reed.be/api/v2/products/205/picture?type=normal;Osborne Group;United Kingdom;;8.3;96
206;gin;Ampersand Distilling Co Gin;;;https://ginventory.reed.be/api/v2/products/206/picture?type=normal;Ampersand Distilling Company;Canada;;8.8;17
211;gin;Ana London Dry Gin;;;https://ginventory.reed.be/api/v2/products/211/picture?type=normal;Adegas Moure S.A.;Spain;;7.9;25
213;gin;Anchor Genevieve Geneve Style Gin;;;https://ginventory.reed.be/api/v2/products/213/picture?type=normal;Anchor Distilling;United States;;8.2;4
214;gin;Anchor Old Tom Gin;;;https://ginventory.reed.be/api/v2/products/214/picture?type=normal;Anchor Distilling;United States;;8.5;9
215;gin;Ancient Mariner;;;https://ginventory.reed.be/api/v2/products/215/picture?type=normal;The Hebridean Liqueur Company;United Kingdom;;8.2;46
217;gin;Angelicus Gin;;;https://ginventory.reed.be/api/v2/products/217/picture?type=normal;Sas Distilleries;Belgium;;8.4;29
218;gin;Angelicus Gold Label;;;https://ginventory.reed.be/api/v2/products/218/picture?type=normal;Sas Distilleries;Belgium;;6.0;1
219;gin;Bass & Flinders Distillery Angry Ant Premium Gin;;;https://ginventory.reed.be/api/v2/products/219/picture?type=normal;Bass & Flinders Distillery;Australia;;8.6;16
222;gin;Ankh Gin;;;https://ginventory.reed.be/api/v2/products/222/picture?type=normal;The Liquory B.V.;Netherlands;;8.5;2
226;gin;Anno 60² Gin;;;https://ginventory.reed.be/api/v2/products/226/picture?type=normal;Anno Distillers;United Kingdom;;8.6;46
227;gin;Anno Cranberry & Gin;;;https://ginventory.reed.be/api/v2/products/227/picture?type=normal;Anno Distillers;United Kingdom;;8.5;19
